indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,electricidad_gas_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,impuestos_netos_subsidios
2012-07-01,101.720596071242,150.82884203278658,98.31248412070558,144.17830486534604,142.5917150053982,151.94171091095785,164.00637842071015,163.62820443242626,181.74382497082797,176.65561105798702,131.6186571919166,136.14054967863024,139.86030479269112,158.99599659035312,170.86656552781344,163.95031331400585
2012-08-01,73.19557355015176,177.71455590093157,98.25189612918408,144.3554692051564,138.21356275108337,151.1741074740849,167.15565098104835,157.29850814776273,177.4979171725897,184.82343961484395,135.79917964267375,136.19315218674924,140.37035691526137,159.4662422536192,154.99102475418383,168.90291672953455
2012-09-01,70.83068725021843,182.74665098133053,97.07238674011892,143.52223001002113,124.89932477157768,149.8166822971956,161.02366203541916,158.56908179911056,172.07588381351349,178.83274760502982,132.05057415643802,136.29804745096607,140.400281464209,156.57794555356904,149.62785454982586,164.4729173832051
2012-10-01,71.8730836768845,147.7737514595415,97.1062416863186,151.9246346784865,127.11721397616067,148.11871435498685,171.39768381040588,160.60566564160797,175.89154216506788,184.48416742512194,134.91153779225598,137.27476302115866,142.141503830668,153.03484710021246,156.11007067231603,171.1637954758548
2012-11-01,84.90920445658523,110.38974553757667,92.07596451331352,147.0926101881964,132.37061976181377,148.60583562455045,168.86187994918188,162.09531482705293,175.32986283928187,183.36029794972117,135.81751464068043,137.50098698421712,142.21987022562138,152.78098137765573,152.95969276408715,168.54688966096717
2012-12-01,81.07750038354592,68.67315681962579,95.82765898220875,141.4109061344946,138.29486929103726,142.88947845024933,156.60558312123362,159.18892336900586,173.27875448787563,189.10029459963192,139.2741071207412,138.87440786795796,143.66175092703583,147.87977725323435,150.52457369062097,167.373887532801
2013-01-01,64.01654372353445,45.051518437828456,92.30055344172963,124.30703676937105,140.3080311676578,148.74700755447816,147.5799551839631,166.2064241899149,172.086138489746,183.48864491553778,127.79542521595022,137.01683529045414,139.07298699966478,160.36178940118734,149.72142551820428,167.60589010316315
2013-02-01,72.8336011389129,114.13595389502183,85.5767207844107,119.40567923338507,125.70012488031563,149.4253024763208,144.64684355448182,158.2583592130854,163.74742027170316,174.99097294690839,127.45825593113813,139.44034346106542,140.1694906263752,151.93064142791485,146.9060085550144,156.3097626567306
2013-03-01,139.9196484899806,108.06570809950571,93.24479791951109,141.6337098820099,129.33447614480426,152.1494316142502,172.80932356954642,157.80481947655773,179.0386167922344,180.3979979041728,131.92656970129116,137.28870883838783,140.734216390071,165.27341208763386,145.01583206598065,163.90521028933432
2013-04-01,201.95961174708802,163.98784554516652,90.70288716991494,144.7143468868256,127.77918625313201,151.7883237070887,171.38481727898224,153.84353386334246,184.47056395961047,180.23203549918117,132.78466114596623,137.34569577759024,140.90724681043125,170.09971864705972,147.44708614991734,167.39189907664672
2013-05-01,298.0846647676212,135.5964786369354,94.56617208384336,148.70216804770692,133.385452512408,152.10601568481567,170.58286805692825,150.9362110573971,195.90061149522498,179.79658036269316,137.01036251149438,138.13925917129856,141.96891808576058,172.89122537998568,149.9335680448724,181.17905889178536
2013-06-01,198.2773133488261,222.651241618469,91.44981353127487,142.2259984040483,134.2231660324287,149.1347332217158,164.40773174552814,150.98087607135483,187.2046969494454,188.29472533855133,135.5099933514055,140.14339630389975,145.01768631031183,177.5339721145484,156.75519323717856,169.52344243716624
2013-07-01,107.06872936164058,227.79103587923782,94.43408685562544,144.3313499952253,142.6783178402671,152.848024762418,168.33612799916625,164.8282637548072,184.8173008240068,182.5615030433128,135.72395294553024,139.4802482651639,144.62762498097797,163.62394513771645,169.2002129265097,174.42116367744606
2013-08-01,69.62321492464443,182.3356005109328,94.07014721249102,149.40407658193809,141.8813558391637,153.29247940482028,168.52064641405985,159.6365756936006,183.2852818757845,187.54636071866932,135.16889820338682,140.40574846829858,144.91081106777148,164.00319347443067,155.5855504906249,176.0695428479758
2013-09-01,66.90422477980525,188.40370084045622,91.394398690019,150.76869508141803,132.1138884896492,154.21254049892846,168.5606755110567,160.52191928026423,179.19398561794662,185.36681138348698,134.80577533657544,140.41736050868388,145.60210181112748,161.29530698378875,151.5387699788111,171.36425202126102
2013-10-01,70.46848002818211,192.98718626648363,94.36121119971543,154.9208829044909,129.8678968015282,148.1197665453274,173.03279633105902,159.44170913987145,180.3279537334789,185.20012225914726,136.90409006338533,140.5921616344872,144.81343079256897,156.02657640893952,150.3911431971676,171.51280849012426
2013-11-01,84.42742837559491,136.24480726015972,90.58055698820965,148.0741601275429,127.94281413679462,146.14261691717743,164.60201369892863,159.60894948304446,179.69937251074106,179.1255153159524,137.07334171518275,141.29173986561676,145.42685810069574,156.00124583512815,152.29451779892872,163.30551902943526
2013-12-01,85.37363102902982,77.53448440084631,92.75465184041484,141.72136873597873,150.66439395736649,141.14148429724455,151.1921556194695,156.1662682817733,175.56940113449625,189.09005168095118,140.2423689915374,143.00480518884032,146.94423570577044,151.0756656849699,147.7999120908291,158.30074163093744
2014-01-01,65.0446392916646,48.977577871730624,93.14054800320154,124.4212336626914,150.39359921013954,150.31106016566758,144.5742486235413,165.5993277131196,175.08586920770733,192.57366748781752,128.0395424919344,141.90487954957877,141.9955361921587,163.5666123008387,152.72895195075063,170.4221321058853
2014-02-01,68.93624485226428,81.66239794549071,86.83486326032832,119.71693463733202,126.21041872417051,149.4195773457228,140.88046618185768,155.42401684491017,169.3849742695385,178.7424815440046,128.57732700689039,141.87968550381086,143.45822838040996,154.37805213114873,145.31900424676374,153.71270182584487
2014-03-01,131.15245128337966,162.95871517857924,95.77755920880821,135.33331828037657,131.20138381891118,150.87082932725983,156.7203561494256,149.65064628539503,177.5450962401662,176.77346741999375,129.11693967756443,142.23492963123584,143.46859829338595,167.54335747517428,147.0264375172689,156.79709352296695
2014-04-01,213.79142624821569,136.30192508226077,89.81293107494474,135.74717413307272,128.63806699219427,146.55652534218152,152.7232686907613,147.87647860611008,185.29111973471674,176.13509609333943,130.9784958769456,141.78195882884094,144.81472325781658,172.87313982989247,147.38251943000444,165.42512484619087
2014-05-01,323.8011752339501,178.23074297328347,98.17706399264667,140.41674493148898,139.17577096760363,148.22066328956524,155.54352985281784,145.30106827611766,196.4469027327474,175.95751463393233,134.0458599108031,142.67838718487832,146.3508847692977,175.43879705013325,146.52891132950347,164.3835092678724
2014-06-01,214.76749724613734,225.12553897578505,92.83794099434779,136.40998351202848,142.7748544115638,148.25887170097093,151.95325212323513,143.39129909729834,189.8984151071081,179.49676979334984,138.38450289471567,144.041990629197,148.75725083659367,180.3309294645174,146.28942850500155,159.18176500214
2014-07-01,110.42702279603485,178.25213281625395,95.0945315254412,137.35661927840937,147.39283622849214,147.02293081147056,154.3389201291545,160.55894838471878,185.10098641538403,176.4473438077133,135.40926967918145,144.0888823774733,148.30510189691336,166.20767576289407,157.32304751192686,159.95074910442492
2014-08-01,68.65546506699638,174.45471597466428,94.06236445582705,136.83446126254012,137.10758957434385,147.20545100872226,151.75616002864547,158.32586917452102,180.85648989839197,176.68497515835082,133.89880187782487,144.7039740965368,149.0032815351834,166.72753643835384,151.49398734018672,154.8610659218349
2014-09-01,67.11585816459777,195.6859703965329,93.37173765888168,139.49073399596097,129.72984563513117,149.5263026902926,158.82883782811237,158.22141043418466,179.62754099497192,178.34358402489576,135.38853348520624,144.90596178518757,149.67228264459783,163.6050743367761,148.44810578176416,157.44033715018693
2014-10-01,69.33396734077101,215.35071923714918,96.08091359919564,144.75621316607635,138.68256980884925,142.4347976867099,161.6106082417014,164.5197609285067,182.37152522452,178.64061540394476,135.77662484365004,145.13483709900476,150.7503340864833,159.75150447322326,148.69214999854194,155.60847829747894
2014-11-01,83.92547950639224,143.7916396321845,92.73521485287749,139.4289330514719,133.88900101473905,143.01018070430143,154.51078433169934,163.98949702406105,180.47836662750626,169.83905718030462,135.23790426585657,145.86877933402303,150.82819579626218,159.61457064918244,148.75350585659223,149.69603545318813
2014-12-01,88.52394623881575,76.39106625357044,94.77313741412655,133.8623263347227,142.45561803342665,139.96445200159403,147.5968485241539,162.91976514550842,179.91374352790407,176.14249373829176,139.3297549336797,147.22098653016923,150.8545533552837,153.6182368574931,147.50163795481433,154.16847652376657
2015-01-01,61.32173727655375,49.07539001468238,95.14667013328177,118.27273777332528,149.1242300147209,146.68971163831233,133.04972550076468,171.67831186906454,178.84368584975817,176.13005139985216,128.3776366616169,146.20580113727934,146.5469966767402,167.4512825270009,150.79204764531661,161.60951574176883
2015-02-01,70.34749867889387,82.34020061506313,88.28846995329278,116.83816966740386,137.0995265821499,147.78298903949207,142.45276811240632,160.53795586117994,173.50927876560803,172.3630902742235,129.1915204681836,146.36716701082526,146.30850315312762,158.48933628084941,148.71964015687348,149.90580003528984
2015-03-01,144.4282120789188,141.82099740785813,97.37515756281856,134.92721628822846,151.53932559178583,151.92015645441361,170.02513399061348,150.91734267893716,182.99954733043992,176.96224079526087,133.17429117174467,147.8761888300874,147.2694277455143,172.15742503231323,141.3115758096983,160.8742447148654
2015-04-01,240.9170855912434,146.55911348194078,93.84315771147223,137.38139403071713,132.04750244590613,151.98458871074286,153.79013442908695,147.63870476624524,190.61183143952744,176.30672319507744,135.51871068313451,146.9824504141404,150.0892270836068,177.44219703148113,150.77404327709482,169.27475399444495
