indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2004-01-01,92.62750602691052,98.33281518135747,96.0361605764796,,,
2004-02-01,90.18617931655959,98.01421171269027,96.6569476073649,,-0.0032400523475260455,0.006464096723139363
2004-03-01,101.88329804238073,97.67862645132512,97.32132208994975,,-0.003423842884630375,0.006873530553474865
2004-04-01,102.5674302511826,95.22051331812206,98.02268388390014,,-0.02516531223366428,0.007206661180600946
2004-05-01,109.87750394051662,96.91091546006558,98.74998583155634,,0.017752499782227177,0.0074197310136665355
2004-06-01,105.66240620209851,98.64843372082662,99.50039761394586,,0.017929025358108534,0.007599107747413143
2004-07-01,101.1069972900212,100.91808940322969,100.27359880724592,,0.02300751868829636,0.007770835211131697
2004-08-01,98.35573694243757,102.08169710226316,101.06838123421306,,0.011530219269056516,0.007926138449413145
2004-09-01,98.08637453469638,102.39309312884481,101.87855180706558,,0.0030504589502436375,0.008016063609201894
2004-10-01,97.8356659809799,103.26141448172591,102.69594984998206,,0.008480272705390916,0.00802325934573986
2004-11-01,100.1319466812214,103.53752190183184,103.50460062861099,,0.002673868273950433,0.00787422269145182
2004-12-01,101.67895479099535,103.00266813771731,104.29142006968566,,-0.00516579645996984,0.007601782300459234
2005-01-01,98.473359529179,105.9053643886724,105.04476255297068,0.06311142071092916,0.028180786997421308,0.0072234368156233585
2005-02-01,96.11886613343405,106.11984167635039,105.75753601492872,0.06578266051220921,0.002025178695300696,0.006785425990168789
2005-03-01,110.65642586719524,106.73626760929618,106.42748968647116,0.08610957824672226,0.005808771698188053,0.006334807870787245
2005-04-01,116.54519048214907,108.17033397136437,107.05877542225525,0.13627874069512727,0.013435605293202996,0.005931604115100555
2005-05-01,126.66194335502726,108.79545672773325,107.65959874263154,0.15275592193646007,0.005779059132186432,0.005612088481365021
2005-06-01,116.50222321492875,108.45483158321541,108.24151734109026,0.10258915542863108,-0.0031308765527798244,0.005405171533750916
2005-07-01,107.58113926245956,109.08592347166758,108.81813334714877,0.06403258079030437,0.005818937517485807,0.005327124196175817
2005-08-01,105.82089279310111,109.36642085038547,109.40226042506364,0.07589954671411277,0.002571343485859927,0.005367920400283026
2005-09-01,104.89213472672316,109.36319653453086,110.00577638522762,0.06938537818644079,-2.9481771731525443e-05,0.005516485288504356
2005-10-01,104.46066538498441,110.00444176434904,110.63781057093516,0.06771558549304985,0.005863446297637438,0.005745463615421755
2005-11-01,108.00375438454834,111.23043248828166,111.30768941029426,0.0786143480101063,0.01114492018930406,0.006054700792633696
2005-12-01,110.50332389924424,112.98740814459504,112.01999504617099,0.08678658357953893,0.01579581789811414,0.006399428823386018
2006-01-01,106.53094787692405,113.8174933298485,112.77259184745446,0.08182505792703722,0.007346705255785366,0.006718414877391154
2006-02-01,104.0901370432872,114.62534421191573,113.56035767866406,0.08293138725531037,0.007097774326535529,0.006985436960384846
2006-03-01,118.58827645043104,114.41088497851966,114.37588396507176,0.07167998171886779,-0.0018709582498577504,0.007181434640381781
2006-04-01,122.08710730131627,115.67273272863173,115.21247856018454,0.04755165611073451,0.011029088275551545,0.007314431732551725
2006-05-01,133.37101567477424,115.07291886345095,116.06402461481805,0.052968335571338655,-0.005185438703068712,0.0073910922260793654
2006-06-01,124.29274775102324,116.31910337130219,116.92431906541775,0.06687017913574195,0.01082952027427055,0.0074122403858969226
2006-07-01,117.04563185352679,118.11374374739083,117.78975928637645,0.08797538914304709,0.015428595338806729,0.0074017127307321575
2006-08-01,116.30360797574892,118.84671527995391,118.66070893182331,0.09906092177036725,0.006205641353056279,0.0073941032796354025
2006-09-01,114.80248033323909,119.90588124509438,119.53953411646273,0.09448130341074162,0.008912033981296901,0.007406202040680227
2006-10-01,116.47750825324563,120.50047985307513,120.42770479565856,0.115037012486698,0.004958877761511644,0.007429932580551366
2006-11-01,118.14078229406633,120.77303557513028,121.32849631274165,0.09385810676011318,0.0022618642049184244,0.007479935938424945
2006-12-01,119.60317208093002,123.27508189594444,122.2404463168335,0.08234909015029217,0.020716928318471446,0.007516371106596154
2007-01-01,114.70176482722367,122.07752896763972,123.16117645911878,0.07669899792630616,-0.009714476842250831,0.007532123532164121
