HORA,CANTIDAD,SENTIDO,LATITUD,LONGITUD
4/25/1911,2957,Ingreso,-34.633299,-58.468594
4/26/1911,1922,Ingreso,-34.633299,-58.468594
4/27/1911,2550,Ingreso,-34.633299,-58.468594
4/28/1911,2393,Ingreso,-34.633299,-58.468594
4/29/1911,2640,Ingreso,-34.633299,-58.468594
4/30/1911,2802,Ingreso,-34.633299,-58.468594
5/1/1911,3010,Ingreso,-34.633299,-58.468594
5/2/1911,3353,Ingreso,-34.633299,-58.468594
5/3/1911,2840,Ingreso,-34.633299,-58.468594
5/4/1911,980,Ingreso,-34.633299,-58.468594
5/5/1911,329,Ingreso,-34.633299,-58.468594
5/6/1911,305,Ingreso,-34.633299,-58.468594
5/7/1911,334,Ingreso,-34.633299,-58.468594
5/8/1911,466,Ingreso,-34.633299,-58.468594
5/9/1911,651,Ingreso,-34.633299,-58.468594
5/10/1911,1047,Ingreso,-34.633299,-58.468594
5/11/1911,1520,Ingreso,-34.633299,-58.468594
5/12/1911,1764,Ingreso,-34.633299,-58.468594
5/13/1911,1754,Ingreso,-34.633299,-58.468594
5/14/1911,2095,Ingreso,-34.633299,-58.468594
5/15/1911,2458,Ingreso,-34.633299,-58.468594
5/16/1911,2080,Ingreso,-34.633299,-58.468594
5/17/1911,2208,Ingreso,-34.633299,-58.468594
5/18/1911,2366,Ingreso,-34.633299,-58.468594
5/19/1911,2605,Ingreso,-34.633299,-58.468594
5/20/1911,2535,Ingreso,-34.633299,-58.468594
5/21/1911,2342,Ingreso,-34.633299,-58.468594
5/22/1911,2426,Ingreso,-34.633299,-58.468594
5/23/1911,2322,Ingreso,-34.633299,-58.468594
5/24/1911,2398,Ingreso,-34.633299,-58.468594
5/25/1911,2546,Ingreso,-34.633299,-58.468594
5/26/1911,2192,Ingreso,-34.633299,-58.468594
5/27/1911,2203,Ingreso,-34.633299,-58.468594
5/28/1911,835,Ingreso,-34.633299,-58.468594
5/29/1911,291,Ingreso,-34.633299,-58.468594
5/30/1911,2757,Ingreso,-34.633299,-58.468594
5/31/1911,2366,Ingreso,-34.633299,-58.468594
6/1/1911,2605,Ingreso,-34.633299,-58.468594
6/2/1911,3229,Ingreso,-34.633299,-58.468594
6/3/1911,3472,Ingreso,-34.633299,-58.468594
6/4/1911,3506,Ingreso,-34.633299,-58.468594
6/5/1911,3050,Ingreso,-34.633299,-58.468594
6/6/1911,1061,Ingreso,-34.633299,-58.468594
6/7/1911,368,Ingreso,-34.633299,-58.468594
6/8/1911,323,Ingreso,-34.633299,-58.468594
6/9/1911,360,Ingreso,-34.633299,-58.468594
6/10/1911,507,Ingreso,-34.633299,-58.468594
6/11/1911,711,Ingreso,-34.633299,-58.468594
6/12/1911,1063,Ingreso,-34.633299,-58.468594
6/13/1911,1430,Ingreso,-34.633299,-58.468594
6/14/1911,1688,Ingreso,-34.633299,-58.468594
6/15/1911,1018,Ingreso,-34.633299,-58.468594
6/16/1911,1225,Ingreso,-34.633299,-58.468594
6/17/1911,1589,Ingreso,-34.633299,-58.468594
6/18/1911,1704,Ingreso,-34.633299,-58.468594
6/19/1911,1606,Ingreso,-34.633299,-58.468594
6/20/1911,528,Ingreso,-34.633299,-58.468594
6/21/1911,213,Ingreso,-34.633299,-58.468594
6/22/1911,213,Ingreso,-34.633299,-58.468594
6/23/1911,653,Ingreso,-34.633299,-58.468594
6/24/1911,858,Ingreso,-34.633299,-58.468594
6/25/1911,1085,Ingreso,-34.633299,-58.468594
6/26/1911,1007,Ingreso,-34.633299,-58.468594
6/27/1911,966,Ingreso,-34.633299,-58.468594
6/28/1911,909,Ingreso,-34.633299,-58.468594
6/29/1911,666,Ingreso,-34.633299,-58.468594
6/30/1911,705,Ingreso,-34.633299,-58.468594
7/1/1911,792,Ingreso,-34.633299,-58.468594
7/2/1911,942,Ingreso,-34.633299,-58.468594
7/3/1911,250,Ingreso,-34.633299,-58.468594
7/4/1911,281,Ingreso,-34.633299,-58.468594
7/5/1911,410,Ingreso,-34.633299,-58.468594
7/6/1911,567,Ingreso,-34.633299,-58.468594
7/7/1911,765,Ingreso,-34.633299,-58.468594
7/8/1911,1027,Ingreso,-34.633299,-58.468594
7/9/1911,1194,Ingreso,-34.633299,-58.468594
7/10/1911,1077,Ingreso,-34.633299,-58.468594
7/11/1911,1056,Ingreso,-34.633299,-58.468594
7/12/1911,872,Ingreso,-34.633299,-58.468594
7/13/1911,746,Ingreso,-34.633299,-58.468594
7/14/1911,720,Ingreso,-34.633299,-58.468594
7/15/1911,742,Ingreso,-34.633299,-58.468594
7/16/1911,871,Ingreso,-34.633299,-58.468594
7/17/1911,1117,Ingreso,-34.633299,-58.468594
7/18/1911,1336,Ingreso,-34.633299,-58.468594
7/19/1911,1088,Ingreso,-34.633299,-58.468594
7/20/1911,334,Ingreso,-34.633299,-58.468594
7/21/1911,251,Ingreso,-34.633299,-58.468594
7/22/1911,350,Ingreso,-34.633299,-58.468594
7/23/1911,489,Ingreso,-34.633299,-58.468594
7/24/1911,731,Ingreso,-34.633299,-58.468594
7/25/1911,1077,Ingreso,-34.633299,-58.468594
7/26/1911,1213,Ingreso,-34.633299,-58.468594
7/27/1911,1104,Ingreso,-34.633299,-58.468594
7/28/1911,1061,Ingreso,-34.633299,-58.468594
7/29/1911,937,Ingreso,-34.633299,-58.468594
7/30/1911,834,Ingreso,-34.633299,-58.468594
7/31/1911,980,Ingreso,-34.633299,-58.468594
8/1/1911,1203,Ingreso,-34.633299,-58.468594
8/2/1911,1340,Ingreso,-34.633299,-58.468594
8/3/1911,1111,Ingreso,-34.633299,-58.468594
8/4/1911,1071,Ingreso,-34.633299,-58.468594
8/5/1911,1027,Ingreso,-34.633299,-58.468594
8/6/1911,1045,Ingreso,-34.633299,-58.468594
8/7/1911,1239,Ingreso,-34.633299,-58.468594
8/8/1911,1418,Ingreso,-34.633299,-58.468594
8/9/1911,1612,Ingreso,-34.633299,-58.468594
8/10/1911,1491,Ingreso,-34.633299,-58.468594
8/11/1911,479,Ingreso,-34.633299,-58.468594
8/12/1911,203,Ingreso,-34.633299,-58.468594
8/13/1911,220,Ingreso,-34.633299,-58.468594
8/14/1911,273,Ingreso,-34.633299,-58.468594
8/15/1911,422,Ingreso,-34.633299,-58.468594
8/16/1911,525,Ingreso,-34.633299,-58.468594
8/17/1911,895,Ingreso,-34.633299,-58.468594
8/18/1911,867,Ingreso,-34.633299,-58.468594
8/19/1911,936,Ingreso,-34.633299,-58.468594
8/20/1911,1193,Ingreso,-34.633299,-58.468594
8/21/1911,1374,Ingreso,-34.633299,-58.468594
8/22/1911,1144,Ingreso,-34.633299,-58.468594
8/23/1911,1100,Ingreso,-34.633299,-58.468594
8/24/1911,1051,Ingreso,-34.633299,-58.468594
8/25/1911,1415,Ingreso,-34.633299,-58.468594
8/26/1911,1523,Ingreso,-34.633299,-58.468594
8/27/1911,1892,Ingreso,-34.633299,-58.468594
8/28/1911,2227,Ingreso,-34.633299,-58.468594
8/29/1911,1677,Ingreso,-34.633299,-58.468594
8/30/1911,673,Ingreso,-34.633299,-58.468594
8/31/1911,370,Ingreso,-34.633299,-58.468594
9/1/1911,309,Ingreso,-34.633299,-58.468594
9/2/1911,409,Ingreso,-34.633299,-58.468594
9/3/1911,646,Ingreso,-34.633299,-58.468594
9/4/1911,843,Ingreso,-34.633299,-58.468594
9/5/1911,1316,Ingreso,-34.633299,-58.468594
9/6/1911,1913,Ingreso,-34.633299,-58.468594
9/7/1911,2020,Ingreso,-34.633299,-58.468594
9/8/1911,2279,Ingreso,-34.633299,-58.468594
9/9/1911,2640,Ingreso,-34.633299,-58.468594
9/10/1911,2774,Ingreso,-34.633299,-58.468594
9/11/1911,2956,Ingreso,-34.633299,-58.468594
9/12/1911,3341,Ingreso,-34.633299,-58.468594
9/13/1911,3708,Ingreso,-34.633299,-58.468594
9/14/1911,4311,Ingreso,-34.633299,-58.468594
9/15/1911,4324,Ingreso,-34.633299,-58.468594
9/16/1911,3992,Ingreso,-34.633299,-58.468594
9/17/1911,3710,Ingreso,-34.633299,-58.468594
9/18/1911,3622,Ingreso,-34.633299,-58.468594
9/19/1911,3945,Ingreso,-34.633299,-58.468594
9/20/1911,4409,Ingreso,-34.633299,-58.468594
9/21/1911,4051,Ingreso,-34.633299,-58.468594
9/22/1911,2524,Ingreso,-34.633299,-58.468594
9/23/1911,909,Ingreso,-34.633299,-58.468594
9/24/1911,578,Ingreso,-34.633299,-58.468594
9/25/1911,594,Ingreso,-34.633299,-58.468594
9/26/1911,931,Ingreso,-34.633299,-58.468594
9/27/1911,1860,Ingreso,-34.633299,-58.468594
9/28/1911,4550,Ingreso,-34.633299,-58.468594
9/29/1911,6747,Ingreso,-34.633299,-58.468594
9/30/1911,6707,Ingreso,-34.633299,-58.468594
10/1/1911,6906,Ingreso,-34.633299,-58.468594
10/2/1911,7191,Ingreso,-34.633299,-58.468594
10/3/1911,9110,Ingreso,-34.633299,-58.468594
10/4/1911,10275,Ingreso,-34.633299,-58.468594
10/5/1911,200,Ingreso,-34.633299,-58.468594
10/6/1911,187,Ingreso,-34.633299,-58.468594
10/7/1911,312,Ingreso,-34.633299,-58.468594
10/8/1911,364,Ingreso,-34.633299,-58.468594
10/9/1911,540,Ingreso,-34.633299,-58.468594
10/10/1911,722,Ingreso,-34.633299,-58.468594
10/11/1911,1076,Ingreso,-34.633299,-58.468594
10/12/1911,1199,Ingreso,-34.633299,-58.468594
10/13/1911,1317,Ingreso,-34.633299,-58.468594
10/14/1911,1380,Ingreso,-34.633299,-58.468594
10/15/1911,1288,Ingreso,-34.633299,-58.468594
10/16/1911,1190,Ingreso,-34.633299,-58.468594
10/17/1911,1333,Ingreso,-34.633299,-58.468594
10/18/1911,1608,Ingreso,-34.633299,-58.468594
10/19/1911,1880,Ingreso,-34.633299,-58.468594
10/20/1911,1552,Ingreso,-34.633299,-58.468594
10/21/1911,1503,Ingreso,-34.633299,-58.468594
10/22/1911,1460,Ingreso,-34.633299,-58.468594
10/23/1911,8613,Ingreso,-34.633299,-58.468594
10/24/1911,9836,Ingreso,-34.633299,-58.468594
10/25/1911,9630,Ingreso,-34.633299,-58.468594
10/26/1911,9959,Ingreso,-34.633299,-58.468594
10/27/1911,9785,Ingreso,-34.633299,-58.468594
10/28/1911,9747,Ingreso,-34.633299,-58.468594
10/29/1911,9748,Ingreso,-34.633299,-58.468594
10/30/1911,9421,Ingreso,-34.633299,-58.468594
10/31/1911,10165,Ingreso,-34.633299,-58.468594
11/1/1911,10791,Ingreso,-34.633299,-58.468594
11/2/1911,10118,Ingreso,-34.633299,-58.468594
11/3/1911,6939,Ingreso,-34.633299,-58.468594
11/4/1911,3041,Ingreso,-34.633299,-58.468594
11/5/1911,931,Ingreso,-34.633299,-58.468594
11/6/1911,598,Ingreso,-34.633299,-58.468594
11/7/1911,615,Ingreso,-34.633299,-58.468594
11/8/1911,10895,Ingreso,-34.633299,-58.468594
11/9/1911,11094,Ingreso,-34.633299,-58.468594
11/10/1911,11007,Ingreso,-34.633299,-58.468594
11/11/1911,11050,Ingreso,-34.633299,-58.468594
11/12/1911,10554,Ingreso,-34.633299,-58.468594
11/13/1911,10324,Ingreso,-34.633299,-58.468594
11/14/1911,9514,Ingreso,-34.633299,-58.468594
11/15/1911,9860,Ingreso,-34.633299,-58.468594
11/16/1911,10198,Ingreso,-34.633299,-58.468594
11/17/1911,9238,Ingreso,-34.633299,-58.468594
11/18/1911,6492,Ingreso,-34.633299,-58.468594
11/19/1911,880,Ingreso,-34.633299,-58.468594
11/20/1911,1328,Ingreso,-34.633299,-58.468594
11/21/1911,1902,Ingreso,-34.633299,-58.468594
11/22/1911,2690,Ingreso,-34.633299,-58.468594
11/23/1911,4026,Ingreso,-34.633299,-58.468594
11/24/1911,5969,Ingreso,-34.633299,-58.468594
11/25/1911,8282,Ingreso,-34.633299,-58.468594
11/26/1911,10490,Ingreso,-34.633299,-58.468594
11/27/1911,11312,Ingreso,-34.633299,-58.468594
11/28/1911,9002,Ingreso,-34.633299,-58.468594
11/29/1911,9475,Ingreso,-34.633299,-58.468594
11/30/1911,9921,Ingreso,-34.633299,-58.468594
12/1/1911,9374,Ingreso,-34.633299,-58.468594
12/2/1911,6415,Ingreso,-34.633299,-58.468594
12/3/1911,2902,Ingreso,-34.633299,-58.468594
12/4/1911,983,Ingreso,-34.633299,-58.468594
12/5/1911,550,Ingreso,-34.633299,-58.468594
12/6/1911,553,Ingreso,-34.633299,-58.468594
12/7/1911,766,Ingreso,-34.633299,-58.468594
12/8/1911,1176,Ingreso,-34.633299,-58.468594
12/9/1911,1598,Ingreso,-34.633299,-58.468594
12/10/1911,2271,Ingreso,-34.633299,-58.468594
12/11/1911,3349,Ingreso,-34.633299,-58.468594
12/12/1911,4996,Ingreso,-34.633299,-58.468594
12/13/1911,6346,Ingreso,-34.633299,-58.468594
12/14/1911,9255,Ingreso,-34.633299,-58.468594
12/15/1911,10038,Ingreso,-34.633299,-58.468594
12/16/1911,9866,Ingreso,-34.633299,-58.468594
12/17/1911,9946,Ingreso,-34.633299,-58.468594
12/18/1911,9751,Ingreso,-34.633299,-58.468594
12/19/1911,10072,Ingreso,-34.633299,-58.468594
12/20/1911,10072,Ingreso,-34.633299,-58.468594
12/21/1911,10015,Ingreso,-34.633299,-58.468594
12/22/1911,9568,Ingreso,-34.633299,-58.468594
12/23/1911,2773,Ingreso,-34.633299,-58.468594
12/24/1911,917,Ingreso,-34.633299,-58.468594
12/25/1911,508,Ingreso,-34.633299,-58.468594
12/26/1911,579,Ingreso,-34.633299,-58.468594
12/27/1911,836,Ingreso,-34.633299,-58.468594
12/28/1911,1209,Ingreso,-34.633299,-58.468594
12/29/1911,1743,Ingreso,-34.633299,-58.468594
12/30/1911,2447,Ingreso,-34.633299,-58.468594
12/31/1911,3624,Ingreso,-34.633299,-58.468594
1/1/1912,5022,Ingreso,-34.633299,-58.468594
1/2/1912,6219,Ingreso,-34.633299,-58.468594
1/3/1912,2210,Ingreso,-34.633299,-58.468594
1/4/1912,3201,Ingreso,-34.633299,-58.468594
1/5/1912,4355,Ingreso,-34.633299,-58.468594
1/6/1912,5347,Ingreso,-34.633299,-58.468594
1/7/1912,6729,Ingreso,-34.633299,-58.468594
1/8/1912,7182,Ingreso,-34.633299,-58.468594
1/9/1912,6907,Ingreso,-34.633299,-58.468594
1/10/1912,6671,Ingreso,-34.633299,-58.468594
1/11/1912,5822,Ingreso,-34.633299,-58.468594
1/12/1912,4960,Ingreso,-34.633299,-58.468594
1/13/1912,4584,Ingreso,-34.633299,-58.468594
1/14/1912,5498,Ingreso,-34.633299,-58.468594
1/15/1912,6386,Ingreso,-34.633299,-58.468594
1/16/1912,4958,Ingreso,-34.633299,-58.468594
1/17/1912,3777,Ingreso,-34.633299,-58.468594
1/18/1912,2872,Ingreso,-34.633299,-58.468594
1/19/1912,2366,Ingreso,-34.633299,-58.468594
1/20/1912,2133,Ingreso,-34.633299,-58.468594
1/21/1912,2407,Ingreso,-34.633299,-58.468594
1/22/1912,2098,Ingreso,-34.633299,-58.468594
1/23/1912,1359,Ingreso,-34.633299,-58.468594
1/24/1912,1458,Ingreso,-34.633299,-58.468594
1/25/1912,2089,Ingreso,-34.633299,-58.468594
1/26/1912,2671,Ingreso,-34.633299,-58.468594
1/27/1912,2809,Ingreso,-34.633299,-58.468594
1/28/1912,2848,Ingreso,-34.633299,-58.468594
1/29/1912,3606,Ingreso,-34.633299,-58.468594
1/30/1912,6208,Ingreso,-34.633299,-58.468594
1/31/1912,7146,Ingreso,-34.633299,-58.468594
2/1/1912,6590,Ingreso,-34.633299,-58.468594
2/2/1912,6197,Ingreso,-34.633299,-58.468594
2/3/1912,6366,Ingreso,-34.633299,-58.468594
2/4/1912,6525,Ingreso,-34.633299,-58.468594
2/5/1912,6311,Ingreso,-34.633299,-58.468594
2/6/1912,6695,Ingreso,-34.633299,-58.468594
2/7/1912,8016,Ingreso,-34.633299,-58.468594
2/8/1912,7993,Ingreso,-34.633299,-58.468594
2/9/1912,7571,Ingreso,-34.633299,-58.468594
2/10/1912,6570,Ingreso,-34.633299,-58.468594
2/11/1912,6073,Ingreso,-34.633299,-58.468594
2/12/1912,5945,Ingreso,-34.633299,-58.468594
2/13/1912,4911,Ingreso,-34.633299,-58.468594
2/14/1912,10968,Ingreso,-34.633299,-58.468594
2/15/1912,10839,Ingreso,-34.633299,-58.468594
2/16/1912,10870,Ingreso,-34.633299,-58.468594
2/17/1912,10972,Ingreso,-34.633299,-58.468594
2/18/1912,10951,Ingreso,-34.633299,-58.468594
2/19/1912,10972,Ingreso,-34.633299,-58.468594
2/20/1912,10981,Ingreso,-34.633299,-58.468594
2/21/1912,11570,Ingreso,-34.633299,-58.468594
2/22/1912,12766,Ingreso,-34.633299,-58.468594
2/23/1912,11972,Ingreso,-34.633299,-58.468594
2/24/1912,8031,Ingreso,-34.633299,-58.468594
2/25/1912,3382,Ingreso,-34.633299,-58.468594
2/26/1912,1139,Ingreso,-34.633299,-58.468594
2/27/1912,747,Ingreso,-34.633299,-58.468594
2/28/1912,791,Ingreso,-34.633299,-58.468594
2/29/1912,1239,Ingreso,-34.633299,-58.468594
3/1/1912,12722,Ingreso,-34.633299,-58.468594
3/2/1912,12396,Ingreso,-34.633299,-58.468594
3/3/1912,12064,Ingreso,-34.633299,-58.468594
3/4/1912,11630,Ingreso,-34.633299,-58.468594
3/5/1912,12029,Ingreso,-34.633299,-58.468594
3/6/1912,12718,Ingreso,-34.633299,-58.468594
3/7/1912,12472,Ingreso,-34.633299,-58.468594
3/8/1912,7590,Ingreso,-34.633299,-58.468594
3/9/1912,3296,Ingreso,-34.633299,-58.468594
3/10/1912,1077,Ingreso,-34.633299,-58.468594
3/11/1912,641,Ingreso,-34.633299,-58.468594
3/12/1912,692,Ingreso,-34.633299,-58.468594
3/13/1912,1041,Ingreso,-34.633299,-58.468594
3/14/1912,1922,Ingreso,-34.633299,-58.468594
3/15/1912,2494,Ingreso,-34.633299,-58.468594
3/16/1912,3493,Ingreso,-34.633299,-58.468594
3/17/1912,4887,Ingreso,-34.633299,-58.468594
3/18/1912,3863,Ingreso,-34.633299,-58.468594
3/19/1912,2623,Ingreso,-34.633299,-58.468594
3/20/1912,1327,Ingreso,-34.633299,-58.468594
3/21/1912,1348,Ingreso,-34.633299,-58.468594
3/22/1912,1734,Ingreso,-34.633299,-58.468594
3/23/1912,2526,Ingreso,-34.633299,-58.468594
3/24/1912,2939,Ingreso,-34.633299,-58.468594
3/25/1912,3345,Ingreso,-34.633299,-58.468594
3/26/1912,6904,Ingreso,-34.633299,-58.468594
3/27/1912,8626,Ingreso,-34.633299,-58.468594
3/28/1912,10876,Ingreso,-34.633299,-58.468594
3/29/1912,11402,Ingreso,-34.633299,-58.468594
3/30/1912,10952,Ingreso,-34.633299,-58.468594
3/31/1912,11450,Ingreso,-34.633299,-58.468594
4/1/1912,11331,Ingreso,-34.633299,-58.468594
4/2/1912,11666,Ingreso,-34.633299,-58.468594
4/3/1912,12507,Ingreso,-34.633299,-58.468594
4/4/1912,12763,Ingreso,-34.633299,-58.468594
4/5/1912,12411,Ingreso,-34.633299,-58.468594
4/6/1912,11568,Ingreso,-34.633299,-58.468594
4/7/1912,12099,Ingreso,-34.633299,-58.468594
4/8/1912,12878,Ingreso,-34.633299,-58.468594
4/9/1912,12528,Ingreso,-34.633299,-58.468594
4/10/1912,8282,Ingreso,-34.633299,-58.468594
4/11/1912,3587,Ingreso,-34.633299,-58.468594
4/12/1912,1233,Ingreso,-34.633299,-58.468594
4/13/1912,836,Ingreso,-34.633299,-58.468594
4/14/1912,932,Ingreso,-34.633299,-58.468594
4/15/1912,1489,Ingreso,-34.633299,-58.468594
4/16/1912,2296,Ingreso,-34.633299,-58.468594
4/17/1912,3013,Ingreso,-34.633299,-58.468594
4/18/1912,4291,Ingreso,-34.633299,-58.468594
4/19/1912,5980,Ingreso,-34.633299,-58.468594
4/20/1912,8177,Ingreso,-34.633299,-58.468594
4/21/1912,9780,Ingreso,-34.633299,-58.468594
4/22/1912,11772,Ingreso,-34.633299,-58.468594
4/23/1912,12746,Ingreso,-34.633299,-58.468594
4/24/1912,12300,Ingreso,-34.633299,-58.468594
4/25/1912,12510,Ingreso,-34.633299,-58.468594
4/26/1912,12660,Ingreso,-34.633299,-58.468594
4/27/1912,4938,Ingreso,-34.633299,-58.468594
4/28/1912,7813,Ingreso,-34.633299,-58.468594
4/29/1912,9538,Ingreso,-34.633299,-58.468594
4/30/1912,10037,Ingreso,-34.633299,-58.468594
5/1/1912,11046,Ingreso,-34.633299,-58.468594
5/2/1912,12514,Ingreso,-34.633299,-58.468594
5/3/1912,12381,Ingreso,-34.633299,-58.468594
5/4/1912,12743,Ingreso,-34.633299,-58.468594
5/5/1912,12892,Ingreso,-34.633299,-58.468594
5/6/1912,8899,Ingreso,-34.633299,-58.468594
5/7/1912,11105,Ingreso,-34.633299,-58.468594
5/8/1912,12324,Ingreso,-34.633299,-58.468594
5/9/1912,12936,Ingreso,-34.633299,-58.468594
5/10/1912,11994,Ingreso,-34.633299,-58.468594
5/11/1912,12030,Ingreso,-34.633299,-58.468594
5/12/1912,12036,Ingreso,-34.633299,-58.468594
5/13/1912,12321,Ingreso,-34.633299,-58.468594
5/14/1912,11900,Ingreso,-34.633299,-58.468594
5/15/1912,11731,Ingreso,-34.633299,-58.468594
5/16/1912,11107,Ingreso,-34.633299,-58.468594
