fechas,incendios,precipitaciones,rain
12/1/2008,0,32.2426799,3.844995864
1/1/2009,9,32.0078341,4.481797235
2/1/2009,3,32.06989796,4.728231293
3/1/2009,11,32.12948113,4.529323899
4/1/2009,1,32.13186992,3.868943089
5/1/2009,3,32.0804878,3.230133753
6/1/2009,13,31.97567804,2.929396325
7/1/2009,199,32.49165979,1.753922378
8/1/2009,1.321,32.84744296,1.561132966
9/1/2009,3.091,33.08381601,1.274531516
10/1/2009,2.189,32.96612903,2.031182796
11/1/2009,973,32.97692308,1.959059829
12/1/2009,102,32.28640133,3.459286899
1/1/2010,82,32.3701007,3.409914795
2/1/2010,81,32.35544218,3.239455782
3/1/2010,116,32.61497696,3.158832565
4/1/2010,11,32.18039683,4.19468254
5/1/2010,13,32.17281106,2.901536098
6/1/2010,9,32.31785714,2.403730159
7/1/2010,640,32.15495772,1.70038432
8/1/2010,3.727,32.78233487,1.085407066
9/1/2010,2.781,33.0347619,1.353015873
10/1/2010,889,32.98923841,1.685678808
11/1/2010,354,32.56950925,2.693403057
12/1/2010,123,32.33133641,3.194700461
1/1/2011,53,32.05760369,3.732104455
2/1/2011,30,32.02712585,4.183418367
3/1/2011,49,32.0983871,3.693471582
4/1/2011,5,32.07494014,4.704868316
5/1/2011,6,31.9811828,3.757910906
6/1/2011,22,32.28151735,2.077804681
7/1/2011,271,32.46743472,1.483486943
8/1/2011,1.243,32.8734255,1.200691244
9/1/2011,1.295,32.78324916,1.775925926
10/1/2011,694,32.62864823,2.450768049
11/1/2011,399,32.4875,2.575322581
12/1/2011,121,32.40345937,3.279806919
1/1/2012,6,31.98652139,4.823486683
2/1/2012,25,31.84289319,4.949116905
3/1/2012,17,31.95924469,4.776868607
4/1/2012,3,32.09894309,3.520813008
5/1/2012,12,32.1184107,3.469551534
6/1/2012,45,32.22213181,2.369080553
7/1/2012,234,32.16112431,2.029374505
8/1/2012,3.011,32.76209677,1.429032258
9/1/2012,2.392,32.93141667,1.680583333
10/1/2012,1.238,32.8716786,1.962609387
11/1/2012,682,32.88340284,2.231025855
12/1/2012,80,32.23617694,3.787756714
1/1/2013,37,32.21182033,3.95248227
2/1/2013,16,31.98945993,5.07587108
3/1/2013,49,32.18371361,4.536270653
4/1/2013,20,32.22666667,3.860406504
5/1/2013,19,32.10173913,3.483478261
6/1/2013,56,32.26694215,2.223305785
7/1/2013,248,32.04369478,2.242971888
8/1/2013,1.276,32.34793944,2.017998318
9/1/2013,1.739,32.6662931,2.008189655
10/1/2013,1.202,32.75856079,1.91993383
11/1/2013,220,32.33731211,3.762599469
12/1/2013,236,32.45806452,2.578081059
1/1/2014,46,32.12184385,3.552408638
2/1/2014,49,31.99697525,4.416131989
3/1/2014,50,32.04850746,4.858623549
4/1/2014,25,32.22164243,3.949443969
5/1/2014,12,32.06655261,3.670402053
6/1/2014,74,32.2070688,2.496701225
7/1/2014,202,32.14265611,1.968337731
8/1/2014,3.852,32.48354324,1.804617968
9/1/2014,3.057,33.06786389,1.42268431
10/1/2014,952,32.59774109,2.354821894
11/1/2014,676,32.4287683,3.056589147
12/1/2014,293,32.41443983,3.006058091
1/1/2015,35,32.04437141,3.681265407
2/1/2015,107,32.2920197,3.441477833
3/1/2015,46,32.09953875,4.768081181
4/1/2015,24,32.23057851,3.848025712
5/1/2015,10,32.14936709,3.731916817
6/1/2015,33,32.34574468,2.213152805
7/1/2015,356,32.49881657,1.592998028
