Total_Entrada,Argentinos_Entrada,Extranjeros_Entrada,Total_Salida,Argentinos_Salida,Extranjeros_Salida
"158,006","95,318","62,688","192,483","121,070","71,413"
"172,726","109,105","63,621","165,533","111,584","53,949"
"192,655","117,164","75,491","199,244","126,550","72,694"
"190,086","117,770","72,316","214,077","139,189","74,888"
"198,765","136,511","62,254","231,828","163,281","68,547"
"214,296","149,011","65,285","223,661","156,376","67,285"
"242,044","156,803","85,241","266,791","184,505","82,286"
"250,141","168,438","81,703","252,216","165,506","86,710"
"249,381","165,868","83,513","254,523","175,482","79,041"
"282,868","176,214","106,654","257,207","161,531","95,676"
"289,513","152,067","137,446","269,712","142,970","126,742"
"311,858","146,901","164,957","311,984","164,187","147,797"
"323,088","174,706","148,382","370,699","206,966","163,733"
"327,102","183,722","143,380","300,192","165,748","134,444"
"317,835","166,218","151,617","323,295","173,357","149,938"
"263,940","156,359","107,581","297,556","178,626","118,930"
